kb_id,title,product_tags,issue_type_tags,intent_tags,routing_queue,body_text
KB_FEES_001,Fee and interest disputes including annual fees and minimum balance charges,"['credit_card', 'debit_card', 'current_account', 'savings_account', 'overdraft_facility']","['annual_fee_dispute', 'fee_charge_dispute', 'minimum_balance_fee_issue', 'overdraft_fee_dispute', 'overdraft_interest_query', 'interest_calculation_issue']","['fee_charge_complaint', 'service_complaint']",retail_account_operations,"For complaints about annual card fees, minimum balance charges and overdraft interest, the agent must validate the charge against the current tariff and any waiver flags recorded on the customer’s profile. The retail_account_operations team should recalculate interest where needed and confirm whether fees were triggered by valid events such as low balances or overdraft utilization. Where the bank is at fault or as a one-time goodwill gesture, refunds may be processed within delegated limits. Repeat complaints or systemic misunderstandings about fees should be escalated to the complaints_and_escalations_office for review of product design and customer communication."
KB_OD_001,"Overdraft activation, limit changes and cancellation requests","['overdraft_facility', 'current_account']","['overdraft_activation_issue', 'overdraft_limit_issue', 'overdraft_cancellation_request']","['service_activation_request', 'limit_increase_request', 'product_change_request']",retail_account_operations,"For overdraft-related requests, the agent must confirm the sanctioned limit, review recent credit assessments and check whether all documentation is in place. Overdraft_activation_issue and overdraft_limit_issue cases should be routed to retail_account_operations with supporting credit decisions. Cancellation requests must ensure that outstanding overdrawn amounts are regularized and that any linked facilities are updated. Changes to overdraft limits must always be supported by documented approval in line with credit risk policy, and customers must be informed of new pricing and conditions in writing."
KB_FD_001,"Fixed deposit auto-renewal, maturity payout and rate issues",['fixed_deposit'],"['fd_auto_renewal_issue', 'fd_closure_request', 'fd_maturity_payout_issue', 'fd_premature_withdrawal_issue', 'fd_rate_mismatch_issue', 'interest_rate_query']","['service_complaint', 'information_request', 'product_change_request', 'product_closure_request']",retail_account_operations,"For fixed deposit complaints, the agent must review the original booking details, maturity instructions and interest rate in the core system. Auto-renewal issues require checking whether payout instructions were properly captured. Maturity payout and premature withdrawal complaints must be assessed against published FD terms, including penalties and revised interest. Rate mismatch queries should be resolved by comparing the contracted rate on the booking date with the tariff table. All adjustments, including goodwill waivers, must be documented and supported by appropriate approvals."
KB_LOANS_001,"Loan repayment issues, EMI changes and closures (personal and auto loans)","['personal_loan', 'auto_vehicle_loan']","['loan_repayment_issue', 'emi_change_request', 'direct_debit_failure', 'prepayment_penalty_query', 'loan_closure_request']","['service_complaint', 'status_update_request', 'information_request', 'product_closure_request']",retail_loans_servicing,"For personal and auto loan repayment issues, the agent must confirm the contractual EMI amount, due date and repayment method. The retail_loans_servicing team should verify incoming payments, salary assignments and direct debit mandates. EMI change requests and prepayment inquiries must be handled according to loan policy, including recalculation of amortization schedules and any penalties. Loan closure requests require full settlement of outstanding amounts and issuance of closure letters or NOCs. All changes to repayment terms must be documented and approved under credit governance."
KB_AUTO_001,"Auto loan documentation, insurance and registration requirements",['auto_vehicle_loan'],"['loan_documentation_issue', 'vehicle_insurance_document_issue', 'loan_approval_delay']","['documentation_request', 'status_update_request', 'service_complaint']",auto_loans_servicing,"For auto loans, the auto_loans_servicing team must ensure that all documentation, including vehicle invoices, insurance policies and registration proof, is obtained and validated. Complaints about delays in disbursement or approval require review of underwriting decisions, valuation reports and pending documentation. Customers should receive a clear checklist of requirements and an estimated timeline for completion. Any exceptions to standard documentation must be approved and recorded in the loan file to maintain auditability."
KB_MORTGAGE_001,"Mortgage loan servicing, property valuation and closure",['mortgage_loan'],"['loan_repayment_issue', 'loan_documentation_issue', 'property_valuation_query', 'loan_approval_delay', 'loan_closure_request', 'prepayment_penalty_query']","['service_complaint', 'status_update_request', 'documentation_request', 'product_closure_request']",mortgage_servicing,"Mortgage servicing involves complex documentation and valuation steps. For repayment complaints, the mortgage_servicing team must verify EMI schedules, rate types and any recent changes in interest rates. Delays in approval or disbursement are often related to pending property valuations or legal checks; customers must be kept informed of progress and required actions. Prepayment and full settlement requests must follow policy on penalties, lock-in periods and re-calculation of interest. On closure, all security documents and mortgages must be released in line with regulatory requirements."
KB_CORP_001,Business and corporate account operations and mandates,['current_account'],"['account_blocked_frozen', 'balance_discrepancy', 'standing_order_issue', 'direct_debit_failure', 'deposit_issue', 'withdrawal_issue']","['service_complaint', 'status_update_request', 'documentation_request']",business_and_corporate_account_operations,"For business and corporate accounts, operations must ensure correct handling of mandates, signing authorities and bulk payment instructions. Complaints about blocked or frozen accounts require quick verification of KYC, sanction or legal holds. Balance and transaction disputes must be reconciled against high-volume payment and collection files. Standing orders and direct debits should reflect corporate mandates and cut-off times. Any exception to standard processes must be agreed with relationship managers and documented thoroughly."
KB_CARD_LIFE_001,"Card delivery, activation, PIN and limit issues","['credit_card', 'debit_card', 'prepaid_card']","['card_delivery_delay', 'card_activation_issue', 'pin_change_issue', 'card_limit_issue', 'credit_limit_increase_request', 'cash_advance_issue']","['service_activation_request', 'service_complaint', 'limit_increase_request', 'status_update_request']",card_authorizations,"For card lifecycle issues, contact center agents should verify delivery status with courier or branch logs and confirm card activation and PIN generation in the system. Card_authorizations manages limit-related issues and cash advance restrictions, ensuring that changes comply with credit policy and customer consent. Credit limit increase requests must be assessed based on income, repayment history and internal scoring. PIN changes and re-issuance must follow secure authentication procedures and never involve disclosure of full PINs over the phone."
KB_GENERAL_001,"General information, product features and insurance requirements","['current_account', 'savings_account', 'salary_account', 'student_account', 'credit_card', 'debit_card', 'personal_loan', 'auto_vehicle_loan', 'mortgage_loan', 'fixed_deposit', 'digital_wallet', 'mobile_banking_app', 'online_banking_portal', 'overdraft_facility']","['general_query', 'insurance_requirement_query', 'statement_request']","['information_request', 'documentation_request']",contact_center_general,"The contact_center_general queue handles routine questions about product features, eligibility, pricing, statement availability and insurance requirements. Agents must rely on the latest approved product and tariff information and avoid making verbal commitments that deviate from policy. For insurance-related requirements, customers should be referred to official brochures or terms and conditions. Where queries require specialist input, the case should be transferred or warm-handed to the relevant operations or relationship teams."
KB_TECH_001,Core banking and channel technical incidents,"['current_account', 'savings_account', 'salary_account', 'mobile_banking_app', 'online_banking_portal', 'digital_wallet']","['balance_not_updated', 'deposit_issue', 'withdrawal_issue', 'online_transaction_failure', 'app_crash_or_freeze', 'device_compatibility_issue', 'session_timeout']","['technical_issue', 'service_complaint', 'status_update_request']",core_banking_it_support,"Core_banking_it_support is responsible for diagnosing and resolving system-level issues impacting balances, postings and channel availability. When multiple customers report similar errors, the incident should be recorded with clear impact, start time and affected channels. Workarounds and customer communication must be agreed with business owners and, where appropriate, published as service advisories. Once resolved, root cause analysis and permanent fixes should be documented to prevent recurrence."
KB_ESC_001,"Formal complaints, regulatory timelines and escalations","['current_account', 'savings_account', 'salary_account', 'student_account', 'credit_card', 'debit_card', 'personal_loan', 'auto_vehicle_loan', 'mortgage_loan', 'fixed_deposit', 'digital_wallet']","['fee_charge_dispute', 'annual_fee_dispute', 'loan_repayment_issue', 'atm_cash_not_dispensed', 'online_transaction_failure', 'unauthorized_transaction']","['escalation_request', 'service_complaint', 'status_update_request']",complaints_and_escalations_office,"All formal complaints and escalation requests must be logged in the complaints management system with full details of the issue, customer impact and previous handling. The complaints_and_escalations_office monitors adherence to regulatory response timelines and ensures that customers receive clear written outcomes. Complex cases such as repeated fee disputes, loan hardship and unresolved fraud are reviewed for root cause, systemic risk and potential remediation. Where service failures are identified, process improvements and staff training should be initiated."
KB_CARD_COLL_001,Overdue credit card payments and collections handling,['credit_card'],['loan_repayment_issue'],"['service_complaint', 'status_update_request']",card_collections,"Card_collections manages overdue credit card balances, payment arrangements and hardship cases. When customers complain about calls or reminders, agents must check delinquency status, recent payments and any existing arrangements. Genuine hardship cases should be routed for assessment under the bank’s restructuring or relief programs, while ensuring that regulatory and internal guidelines on forbearance are followed. All commitments agreed with customers must be recorded and monitored for adherence."
